status	dir	filename	size_bytes	source_url	resolved_url
OK	接種指引	幼兒公費常規疫苗接種適用對象.pdf	120731	https://www.cdc.gov.tw/File/Get?q=alK1SUhIV6SOP0j4uU3aI4Cv8YnIMrzxNHT3BqCXzPZca6zDVZE5OJ3Tfrs3ArCKniedXHXcBRvCcc14XsTW2aPSeXnliDmBtTNisGHNLXYBq_2tY7ES98Iq2cw0mcyGJkCW7bzKfGY-vHKqK5SUwA	https://www.cdc.gov.tw/Uploads/archives/20dcff84-e1eb-4bbf-bbb9-71b8076c8cfd.pdf
OK	接種指引	幼兒A型肝炎疫苗擴增接種對象作業原則.pdf	307329	https://www.cdc.gov.tw/File/Get?q=66HT6AZdVjKmPmyJ9OclbGmbJUEhY8ReEX9K0hXH0cYqk5Ozg3x3vxF_CjQLrg7wOazJF5ZXnURRkN4b3HNm2RMtDXDjrW8zURQLDxTNRrEaX8G3Ou_EMLlKNYwlRlUAz-RnUHL5pVwXkbS9Xv4rlK6qvcuNoNjRv6eosudxP26YBnyBfJ6DPosMH1QjQ6Ik	https://www.cdc.gov.tw/Uploads/archives/08174acf-09ea-44fa-8dc0-eb0168e3f1ef.pdf
OK	接種指引	幼兒A型肝炎預防接種實施對象及接種時程.pdf	114571	https://www.cdc.gov.tw/File/Get/sqrAKrJg_Uq8Ki5B0HtO3g?path=dhn2zSU6tyIcOXff1n2g613sf4hl90kpVXnYWpKXkXKcB5pCELSkluZxjUxU8iJIUZOySL8AtC8YfrRdn-armg&name=WANjgu83RMecApdVLxgOAQ0_2hk-nVeyziUznwIbOyPvW6hV6lPGLcuGre01ihEz	https://www.cdc.gov.tw/Uploads/archives/088c5cda-358e-4a8c-b55d-190b756b9c81.pdf
OK	各疫苗	COVID19疫苗接種須知_莫德納XFG.pdf	1848811	https://www.cdc.gov.tw/File/Get/RzB6ndHRgn0bueICrksNCg	https://www.cdc.gov.tw/Uploads/84a41773-d5e8-45b5-8056-59340fd55dbd.pdf
OK	各疫苗	COVID19疫苗接種須知_NovavaxXFG.pdf	738313	https://www.cdc.gov.tw/File/Get/oaeBUzazAt2IHhTyOL9cvg	https://www.cdc.gov.tw/Uploads/c7cf3329-7937-4a94-9f5c-3d4e2fee2865.pdf
OK	接種指引	免疫功能不全者預防接種建議與指引.pdf	505452	https://www.cdc.gov.tw/File/Get/luGDJLMgpw49f2XXLAD9tA	https://www.cdc.gov.tw/Uploads/files/201310/26e77420-2519-4c7f-be32-7a6c694de72c.pdf
FAIL_EMPTY	接種指引	免疫不全病人預防接種建議	0	https://www.cdc.gov.tw/File/Get?q=66HT6AZdVjKmPmyJ9OclbPLi0YWY23_oW4nzYRVLIyDt9Tyf5yT5_TMBbU6mxQ4OZrrRd6yZ3M2yvZq5OKbZG4CYcYH4QZjs8O5YjIXe5QZ9EFdeXziYwcHRh4Ox1wEULvEHlpCtYbyhEA6G7Dv3NrI6eqOgurxQUrBBDf6BTI8	https://www.cdc.gov.tw/File/Get?q=66HT6AZdVjKmPmyJ9OclbPLi0YWY23_oW4nzYRVLIyDt9Tyf5yT5_TMBbU6mxQ4OZrrRd6yZ3M2yvZq5OKbZG4CYcYH4QZjs8O5YjIXe5QZ9EFdeXziYwcHRh4Ox1wEULvEHlpCtYbyhEA6G7Dv3NrI6eqOgurxQUrBBDf6BTI8
FAIL_EMPTY	接種指引	移植患者預防接種建議	0	https://www.cdc.gov.tw/File/Get?q=66HT6AZdVjKmPmyJ9OclbFUPjsH8yVZBEvmN5mjXCqPkA8gn36HnXDCgrIcxrhvZlm1odEdyT8bYCsmsg9OjE7yDvBH4bc3m24d31JYdgNYJs2gsWaU1-ngdkSFfyoOd2BQyh0w1EK88uAmMFs7jVA	https://www.cdc.gov.tw/File/Get?q=66HT6AZdVjKmPmyJ9OclbFUPjsH8yVZBEvmN5mjXCqPkA8gn36HnXDCgrIcxrhvZlm1odEdyT8bYCsmsg9OjE7yDvBH4bc3m24d31JYdgNYJs2gsWaU1-ngdkSFfyoOd2BQyh0w1EK88uAmMFs7jVA
FAIL_EMPTY	接種指引	癌症病人預防接種建議	0	https://www.cdc.gov.tw/File/Get?q=66HT6AZdVjKmPmyJ9OclbE7fSUNF8o6T2nY3X4twcs645z0sPVYF-Bs9hyzud3ouyA0NF3_ytXiBg8vfMLUoeu1uOfFQUFxf9Ng_s1D2kkA2xEAnPozcYeqUsprymjFpcqOVZOxJeW8xojXUSe2bgA	https://www.cdc.gov.tw/File/Get?q=66HT6AZdVjKmPmyJ9OclbE7fSUNF8o6T2nY3X4twcs645z0sPVYF-Bs9hyzud3ouyA0NF3_ytXiBg8vfMLUoeu1uOfFQUFxf9Ng_s1D2kkA2xEAnPozcYeqUsprymjFpcqOVZOxJeW8xojXUSe2bgA
OK	通函與判讀	狂犬病QA_原始頁面.html	140553	https://www.cdc.gov.tw/Category/QAPage/3xoWx2U2FGpCjF752cmKGA	同左
